port_code,port_name,port_city,port_state
ALC,"Alcan, Ak",Alcan, AK
ANC,"Anchorage, Ak",Anchorage, AK
BAR,"Baker Aaf - Baker Island, Ak",Baker Aaf - Baker Island, AK
DAC,"Daltons Cache, Ak",Daltons Cache, AK
PIZ,"Dew Station Pt Lay Dew, Ak",Dew Station Pt Lay Dew, AK
DTH,"Dutch Harbor, Ak",Dutch Harbor, AK
EGL,"Eagle, Ak",Eagle, AK
FRB,"Fairbanks, Ak",Fairbanks, AK
HOM,"Homer, Ak",Homer, AK
HYD,"Hyder, Ak",Hyder, AK
JUN,"Juneau, Ak",Juneau, AK
5KE,"Ketchikan, Ak",Ketchikan, AK
KET,"Ketchikan, Ak",Ketchikan, AK
MOS,"Moses Point Intermediate, Ak",Moses Point Intermediate, AK
NIK,"Nikiski, Ak",Nikiski, AK
NOM,"Nom, Ak",Nom, AK
PKC,"Poker Creek, Ak",Poker Creek, AK
ORI,"Port Lions Spb, Ak",Port Lions Spb, AK
SKA,"Skagway, Ak",Skagway, AK
SNP,"St. Paul Island, Ak",St. Paul Island, AK
TKI,"Tokeen, Ak",Tokeen, AK
WRA,"Wrangell, Ak",Wrangell, AK
HSV,"Madison County - Huntsville, Al",Madison County - Huntsville, AL
MOB,"Mobile, Al",Mobile, AL
LIA,"Little Rock, Ar (Bps)",Little Rock, AR (BPS)
ROG,"Rogers Arpt, Ar",Rogers Arpt, AR
DOU,"Douglas, Az",Douglas, AZ
LUK,"Lukeville, Az",Lukeville, AZ
MAP,Mariposa Az,Mariposa Az,
NAC,"Naco, Az",Naco, AZ
NOG,"Nogales, Az",Nogales, AZ
PHO,"Phoenix, Az",Phoenix, AZ
POR,"Portal, Az",Portal, AZ
SLU,"San Luis, Az",San Luis, AZ
SAS,"Sasabe, Az",Sasabe, AZ
TUC,"Tucson, Az",Tucson, AZ
YUI,"Yuma, Az",Yuma, AZ
AND,"Andrade, Ca",Andrade, CA
BUR,"Burbank, Ca",Burbank, CA
CAL,"Calexico, Ca",Calexico, CA
CAO,"Campo, Ca",Campo, CA
FRE,"Fresno, Ca",Fresno, CA
ICP,"Imperial County, Ca",Imperial County, CA
LNB,"Long Beach, Ca",Long Beach, CA
LOS,"Los Angeles, Ca",Los Angeles, CA
BFL,"Meadows Field - Bakersfield, Ca",Meadows Field - Bakersfield, CA
OAK,"Oakland, Ca",Oakland, CA
ONT,"Ontario, Ca",Ontario, CA
OTM,"Otay Mesa, Ca",Otay Mesa, CA
BLT,"Pacific, Hwy. Station, Ca","Pacific, Hwy. Station", CA
PSP,"Palm Springs, Ca",Palm Springs, CA
SAC,"Sacramento, Ca",Sacramento, CA
SLS,"Salinas, Ca (Bps)",Salinas, CA (BPS)
SDP,"San Diego, Ca",San Diego, CA
SFR,"San Francisco, Ca",San Francisco, CA
SNJ,"San Jose, Ca",San Jose, CA
SLO,"San Luis Obispo, Ca",San Luis Obispo, CA
